user_id,sku_id
11,123
123,123
229906,12564
301044,52343
264647,45
241801,81462
321,79520
269736,153395
229011,6533
258174,73469
297856,42199
284913,52343
281263,153551
258641,52343
257889,74517
207455,140807
245306,166354
240871,60230
299373,153551
302454,69209
236489,80030
245751,32465
255296,24371
276595,128988
212063,152872
296609,169819
295604,128988
222209,75527
250216,52343
296383,57018
214734,167560
290923,63006
238024,103652
278889,12564
206978,145946
214839,68767
252337,31662
293653,61531
263366,59175
251469,63006
277827,94561
236587,144267
207220,110279
275442,109728
255575,125756
211128,31662
261929,28295
284711,153551
251634,80462
205117,84409
248476,38639
300526,12564
290060,142140
249819,154636
239774,37957
211649,134619
206536,166354
209260,52343
286275,52343
208886,127735
264872,32465
209331,93295
303469,126146
295040,127735
231395,12564
248233,37957
212485,23696
255113,51670
217870,32465
260954,12564
282397,101181
204352,166624
231975,81462
254584,138778
250695,81708
277050,68615
235510,47193
212785,75877
274244,154636
293428,88295
216079,18189
213717,11640
244552,36307
297218,5505
283477,12564
268900,21457
276564,124997
290466,79636
226411,160349
239842,57018
273772,132835
278846,14433
267125,40336
214683,25409
220330,57161
301812,152478
264076,42199
302304,138778
232565,7746
239644,153551
215512,78694
293864,60861
244347,149641
235869,63844
274658,32465
283901,142829
296751,169819
206472,151327
303425,24371
249335,15259
271592,21147
293301,134619
235733,136244
249059,169819
278569,65520
283312,149641
212267,125522
250567,44854
274217,57018
244395,127735
234039,11640
271171,79636
208003,84389
241730,66291
214341,32465
258899,15258
213292,112332
280686,36307
204432,12564
223066,117452
279366,160476
237014,15259
301842,131300
230079,63006
256705,154636
284003,152478
213709,142140
235314,149641
211978,119979
253830,5825
263122,154636
256764,125756
223731,169819
238491,7498
226831,41101
262019,84389
206318,31662
287678,154636
217559,50688
291846,61531
228182,69355
284564,103652
254454,31662
207400,138151
294917,84389
289923,36307
227600,167983
206758,57386
303371,63006
201341,154636
220894,59175
262033,134619
214249,12564
227766,149641
272063,154636
229219,90621
297206,64508
239628,60861
271619,57018
218178,32465
222462,103132
205066,97025
225312,112033
214537,115495
264952,57018
268970,36307
258401,70352
249676,56747
230874,136538
204569,24371
270929,14163
230968,20878
304928,166707
288067,61531
276435,12564
269072,169819
222025,84409
252890,81462
214375,37638
303069,59175
255329,142140
240597,20308
254525,52343
234924,133029
264352,166707
255479,146523
291621,65520
252108,57161
247788,69355
225041,63006
288048,89329
286276,153395
206944,15259
232608,144170
255533,63006
216280,131777
207554,88295
243029,125756
234040,88295
303159,168136
226287,50688
253352,119979
277783,69209
294830,36307
211672,154636
214052,12564
287352,107012
268383,138151
235005,106370
209474,76270
203063,63006
267903,37957
280144,47895
271430,37957
224877,32465
241642,65520
300800,134084
301085,131300
304731,154636
203138,81462
294736,37638
261289,149641
244944,125756
256424,73469
304061,109083
282665,152478
275048,63006
206831,24371
278411,148434
272662,128988
269936,18103
213913,32465
256547,63006
298475,40336
293491,140915
296724,149854
235781,107012
216235,72073
242161,48895
243161,36307
292426,128988
255773,20308
278015,27254
302017,15106
268327,47193
278095,128462
223402,131300
274370,5825
264239,5484
255276,99646
277773,21457
231059,152478
268360,36307
244543,18412
228929,154636
259617,63006
200598,6533
290644,31662
217231,79520
235194,29512
295304,5505
206355,134289
206046,63006
238898,49367
244893,115215
234519,38639
215421,57018
239670,164506
268485,65520
211297,48895
301861,154636
229570,168651
205868,61226
300912,103652
278240,14433
245270,152478
284046,132417
250275,7746
224139,143764
205269,97025
254833,153551
218321,44854
223296,32465
211217,64467
276780,73398
260076,63006
216796,5825
250198,12564
261592,12564
258487,113452
283984,103652
251460,77723
274185,169819
211875,62863
215256,11640
278621,14163
284413,58475
207595,164258
270164,140807
303891,52343
211361,36171
243312,63006
207249,158152
265690,285
302455,63006
226202,12564
228533,142477
269100,47193
289697,147796
212996,31662
243932,21147
275376,151327
275057,12564
222107,127735
298371,52343
247398,88295
297654,92909
201441,61581
269322,15259
203644,109083
229354,127896
268787,98253
244572,24371
247471,99646
222503,52343
292152,161870
208216,18412
243959,32465
202277,5505
258403,154636
297628,63006
250637,108399
215517,36171
294146,154636
223194,61531
206586,103652
295299,52343
210770,20932
212599,18412
238056,63006
275676,57018
289694,73398
303217,41101
218882,14163
229250,154636
258850,21147
227382,169819
284127,128977
270348,151327
257746,63006
283996,97025
256999,94944
205028,153607
228043,63006
300590,32465
240760,281
203081,5505
251806,37957
227756,14163
244729,160476
226704,37254
248356,55715
269689,81462
212305,144549
219770,127735
295122,6533
282428,101642
297580,95850
278870,64467
299320,36307
267765,122341
211835,123578
241017,152478
223012,142196
225005,164215
213672,49126
279201,154636
229060,128747
299072,145990
295453,67924
305242,108858
251965,166876
266911,5825
293913,60297
294190,63006
294319,23696
249925,39674
216210,151327
293182,52343
243765,63006
208215,20308
231773,16839
304248,57018
304606,130022
209231,12564
202077,84389
206534,24371
247693,38222
242158,127735
286930,160476
231863,14163
296413,18412
255619,32465
256434,134084
239488,57018
292514,28295
262157,40336
279741,40336
227675,74141
206989,29670
211230,14181
218569,77837
246985,107012
277639,134619
283182,60230
267212,57018
208691,168238
222258,116489
298795,63006
209244,79106
204511,79636
234506,64794
224879,57161
220594,103652
239507,144170
255149,18103
242757,51429
262549,152872
241110,57018
216784,94652
258465,119979
241245,63310
200025,58568
294861,18412
244677,119979
230348,99646
234076,134619
231980,36307
255133,79636
281994,22876
265646,21147
291306,40336
222881,63006
302109,52343
266936,144589
269741,81462
271153,13334
257200,125704
238183,75527
292130,149854
292979,5825
227610,44854
271405,65520
266538,144217
218857,126146
275608,47193
246885,121342
217526,103652
267961,32865
223887,2340
281792,73469
277044,63006
203254,148421
211170,5825
270445,5825
268992,31662
237653,75849
254332,160476
303632,81708
267949,62863
276844,111999
288828,126146
216366,155707
243361,102110
246539,93652
258724,65520
257309,112332
217799,131777
293543,76270
291893,154636
207522,12564
299995,160476
216561,75877
230879,75877
281273,131300
222176,120189
227988,45320
268238,103652
232887,103014
276125,84389
241580,28250
251197,158405
236759,12564
231417,36685
298445,163392
282423,5825
260193,81462
291409,160476
216273,84389
237436,103652
273530,140807
272068,128988
237590,79520
284304,81708
248802,158864
217596,31662
258466,32465
238606,14163
246036,166876
210714,15106
226899,119111
206522,131300
266198,30460
243733,52343
238951,127735
236505,117996
247006,31662
263442,57018
239797,160750
275752,145946
259534,152478
225363,24065
294735,134084
271234,18412
205732,103132
295973,57018
227352,125110
300628,116489
239631,161870
280690,63006
295097,146704
201403,12564
273204,84389
276732,61226
267027,63006
231237,63006
247224,155707
242034,12564
285910,62863
209799,50290
234906,134084
245399,160476
213388,47193
262738,47895
295173,80030
200674,136244
274291,28295
299242,1101
296920,134619
273786,88524
209804,31662
223146,36307
296989,34517
286656,12564
297105,85557
234828,118386
279624,52343
302991,152478
226388,43062
244000,12564
208143,83384
224387,69230
210020,140807
246122,12564
206506,24371
283980,40336
236274,103652
201178,127896
288363,97025
263765,6533
223995,86942
231902,63006
264881,14163
301688,40336
203552,166354
305080,24371
245226,149641
277087,94944
217174,153551
289461,63006
258739,57161
272135,78694
253162,152872
266996,63006
291404,63006
245558,107012
254080,144267
235796,36685
294082,149223
296505,64467
220861,63006
223410,117996
230114,18412
202386,53638
258313,14181
259697,18412
243846,83384
206809,169819
254398,154636
254296,18412
291258,106714
208464,32465
297505,107012
213917,157827
214275,32056
212965,63006
286486,76270
223884,105052
217491,125756
213248,28754
270541,56792
299597,132573
220304,2677
226751,21147
222294,112332
224479,134619
223961,12564
259161,149641
267245,59175
240535,59175
273982,5505
221629,47193
238953,67755
252823,57297
233138,69209
204823,124180
220625,14163
288796,32465
243493,84389
254104,57161
213980,5825
293502,15921
207358,128988
221011,115210
259384,52476
230194,63006
292539,24371
293090,136244
287225,37957
287371,157597
275456,31662
230241,55092
226665,78694
216687,75539
264725,32465
202532,160476
259499,12564
216473,78694
234504,24371
262978,44854
225696,37957
240977,65520
213430,65520
228426,8515
279664,80030
203357,155707
217540,134619
256185,63006
263684,152872
213298,18412
237780,47895
298369,5825
234634,160476
217804,69355
283859,125363
290562,83384
208581,162498
211454,144267
227796,81462
263709,69209
229272,24371
275530,90521
251186,101181
270018,77571
230893,20308
228556,101181
212861,40336
226987,52596
268538,4366
218282,12564
213594,154636
222167,21147
264631,57018
292248,126906
230996,57018
234289,113452
229258,60230
207544,19233
239565,154636
282537,28295
241526,145990
242683,63310
240654,92394
249361,36307
214064,116489
238177,166707
292941,39830
213880,127735
273777,31662
213476,57297
215993,47193
239063,144170
293968,134084
291433,107012
233057,34697
274654,79520
248451,74517
263051,94944
240196,164544
203302,115495
243349,53669
242934,77571
235500,21147
278804,125756
240212,103652
203073,12564
305172,113549
240031,80462
262735,149641
216045,107012
223270,147796
231187,14181
288546,14163
281305,57018
301238,36307
204978,57018
207838,44854
232254,60230
252977,81462
265806,142667
209686,160537
223930,47193
253220,40336
232629,15921
241026,80030
244632,48895
208386,160476
255110,128988
211283,32865
284450,63006
230467,6533
244109,59820
233582,68615
257635,6533
257040,79520
300925,14433
222731,149854
264602,47193
206756,103652
300964,103234
268366,84389
261611,17242
304178,131300
297250,65233
212258,139483
210729,63006
237809,69209
202608,166354
275850,24371
268155,28295
300463,134289
255890,149295
229150,20308
286041,47193
297993,41101
264740,93295
265716,134619
289946,154636
286004,101181
246160,40943
227690,63006
301012,154636
223637,154636
230021,99646
200756,57018
276576,21147
227416,113202
284404,60230
272841,38222
248002,99646
246972,116597
263176,47895
200288,166707
248572,36307
215525,48895
274673,5825
235941,152478
209335,84389
241988,5825
246376,61531
258198,79636
219459,21147
262254,40336
291842,133436
267551,14433
270700,12564
301029,87502
219345,63006
233097,18412
217163,19973
287144,63006
261075,36307
250583,81462
242136,169819
234315,88975
229746,5825
218019,131300
223650,154636
305287,4723
242813,64974
211837,109728
285802,32056
213746,128988
235044,75128
239168,97025
264043,120211
288741,154636
248782,52343
225813,103652
